entry,score,count,measure,se,infit,z_infit,outfit,z_outfit,cor,exp,obs,exp,item
1,50,75,0.48,0.26,0.87,-1.36,0.83,-1.1,0.47,0.31,72,69,F
2,55,75,0.12,0.27,1.02,0.24,1.01,0.11,0.26,0.29,77.3,73.9,I0002
3,59,75,-0.2,0.29,0.97,-0.14,1.01,0.12,0.29,0.27,80,78.7,I0003
4,52,75,0.34,0.26,1.01,0.14,0.96,-0.18,0.3,0.31,68,70.9,I0004
5,54,75,0.2,0.27,1.11,0.92,1.26,1.35,0.15,0.3,70.7,72.8,I0005
6,54,75,0.2,0.27,1.03,0.3,1.03,0.24,0.26,0.3,70.7,72.8,I0006
7,60,75,-0.29,0.3,0.93,-0.35,0.88,-0.41,0.35,0.26,80,80,I0007
8,54,75,0.2,0.27,0.86,-1.24,0.78,-1.2,0.47,0.3,76,72.8,I0008
9,57,75,-0.03,0.28,0.98,-0.12,0.89,-0.43,0.32,0.28,74.7,76.2,I0009
10,56,75,0.05,0.28,1.02,0.17,1.15,0.74,0.25,0.29,76,75,I0010
11,54,75,0.2,0.27,0.92,-0.62,0.84,-0.84,0.4,0.3,76,72.8,I0011
12,55,75,0.12,0.27,1.02,0.18,0.97,-0.11,0.28,0.29,74.7,73.9,I0012
13,59,75,-0.2,0.29,1.02,0.16,1.25,1.04,0.22,0.27,77.3,78.7,I0013
14,61,75,-0.38,0.31,1.02,0.2,1.09,0.42,0.21,0.25,81.3,81.3,I0014
15,60,75,-0.29,0.3,1,0.07,0.94,-0.16,0.27,0.26,80,80,I0015
16,60,75,-0.29,0.3,1,0.06,0.94,-0.16,0.27,0.26,80,80,I0016
17,59,75,-0.2,0.29,1.08,0.53,1.06,0.34,0.18,0.27,77.3,78.7,I0017
18,50,75,0.48,0.26,1.17,1.72,1.28,1.74,0.09,0.31,56,69,I0018
19,57,75,-0.03,0.28,1.08,0.64,1.13,0.64,0.17,0.28,74.7,76.2,I0019
20,59,75,-0.2,0.29,0.98,-0.1,0.84,-0.63,0.33,0.27,77.3,78.7,I0020
21,61,75,-0.38,0.31,1.04,0.3,1.14,0.57,0.18,0.25,81.3,81.3,I0021
22,59,75,-0.2,0.29,1.06,0.45,1.07,0.36,0.19,0.27,77.3,78.7,I0022
23,55,75,0.12,0.27,0.87,-1.03,0.75,-1.31,0.47,0.29,77.3,73.9,I0023
24,55,75,0.12,0.27,0.95,-0.38,0.97,-0.1,0.34,0.29,74.7,73.9,I0024
25,56,75,0.05,0.28,0.98,-0.12,0.98,-0.04,0.3,0.29,78.7,75,I0025
